Id,Date,Quantity
3134,2017-05-22,0.0
3134,2017-05-29,0.0
3134,2017-06-05,0.0
3134,2017-06-12,0.0
3134,2017-06-19,0.0
3134,2017-06-26,0.0
3134,2017-07-03,0.0
3134,2017-07-10,0.0
3134,2017-07-17,0.0
3134,2017-07-24,0.0
3134,2017-07-31,0.0
3134,2017-08-07,0.0
3134,2017-08-14,2.0
3134,2017-08-21,0.0
3134,2017-08-28,46.0
3134,2017-09-04,8.0
3134,2017-09-11,2.0
3134,2017-09-18,50.0
3134,2017-09-25,12.0
3134,2017-10-02,102.0
3134,2017-10-09,18.0
3134,2017-10-16,230.0
3134,2017-10-23,36.0
3134,2017-10-30,36.0
3134,2017-11-06,38.0
3134,2017-11-13,273.0
3134,2017-11-20,4.0
3134,2017-11-27,4.0
3134,2017-12-04,16.0
3134,2017-12-11,38.0
3134,2017-12-18,6.0
3134,2017-12-25,34.0
3134,2018-01-01,30.0
3134,2018-01-08,2.0
3134,2018-01-15,6.0
3134,2018-01-22,104.0
3134,2018-01-29,1.0
3134,2018-02-05,4.0
3134,2018-02-12,5.0
3245,2012-12-31,0.0
3245,2013-01-07,0.0
3245,2013-01-14,0.0
3245,2013-01-21,0.0
3245,2013-01-28,0.0
3245,2013-02-04,0.0
3245,2013-02-11,0.0
3245,2013-02-18,0.0
3245,2013-02-25,0.0
3245,2013-03-04,0.0
3245,2013-03-11,0.0
3245,2013-03-18,0.0
3245,2013-03-25,0.0
3245,2013-04-01,0.0
3245,2013-04-08,0.0
3245,2013-04-15,0.0
3245,2013-04-22,0.0
3245,2013-04-29,0.0
3245,2013-05-06,0.0
3245,2013-05-13,0.0
3245,2013-05-20,0.0
3245,2013-05-27,0.0
3245,2013-06-03,0.0
3245,2013-06-10,0.0
3245,2013-06-17,0.0
3245,2013-06-24,0.0
3245,2013-07-01,0.0
3245,2013-07-08,0.0
3245,2013-07-15,0.0
3245,2013-07-22,0.0
3245,2013-07-29,0.0
3245,2013-08-05,0.0
3245,2013-08-12,0.0
3245,2013-08-19,0.0
3245,2013-08-26,0.0
3245,2013-09-02,0.0
3245,2013-09-09,0.0
3245,2013-09-16,0.0
3245,2013-09-23,0.0
3245,2013-09-30,0.0
3245,2013-10-07,0.0
3245,2013-10-14,0.0
3245,2013-10-21,0.0
3245,2013-10-28,105.0
3245,2013-11-04,30.0
3245,2013-11-11,12.0
3245,2013-11-18,22.0
3245,2013-11-25,28.0
3245,2013-12-02,168.0
3245,2013-12-09,35.0
3245,2013-12-16,45.0
3245,2013-12-23,2.0
3245,2013-12-30,52.0
3245,2014-01-06,17.0
3245,2014-01-13,36.0
3245,2014-01-20,27.0
3245,2014-01-27,38.0
3245,2014-02-03,28.0
3245,2014-02-10,22.0
3245,2014-02-17,46.0
3245,2014-02-24,32.0
3245,2014-03-03,80.0
3245,2014-03-10,132.0
3245,2014-03-17,34.0
3245,2014-03-24,48.0
3245,2014-03-31,47.0
3245,2014-04-07,4.0
3245,2014-04-14,80.0
3245,2014-04-21,194.0
3245,2014-04-28,125.0
3245,2014-05-05,226.0
3245,2014-05-12,58.0
3245,2014-05-19,108.0
3245,2014-05-26,47.0
3245,2014-06-02,217.0
3245,2014-06-09,8.0
3245,2014-06-16,14.0
3245,2014-06-23,139.0
3245,2014-06-30,142.0
3245,2014-07-07,228.0
3245,2014-07-14,43.0
3245,2014-07-21,107.0
3245,2014-07-28,47.0
3245,2014-08-04,178.0
3245,2014-08-11,398.0
3245,2014-08-18,54.0
3245,2014-08-25,172.0
3245,2014-09-01,20.0
3245,2014-09-08,29.0
3245,2014-09-15,28.0
3245,2014-09-22,881.0
3245,2014-09-29,105.0
3245,2014-10-06,171.0
3245,2014-10-13,54.0
3245,2014-10-20,60.0
3245,2014-10-27,65.0
3245,2014-11-03,96.0
3245,2014-11-10,132.0
3245,2014-11-17,67.0
3245,2014-11-24,244.0
3245,2014-12-01,163.0
3245,2014-12-08,310.0
3245,2014-12-15,271.0
3245,2014-12-22,91.0
3245,2014-12-29,53.0
3245,2015-01-05,115.0
3245,2015-01-12,225.0
3245,2015-01-19,311.0
3245,2015-01-26,272.0
3245,2015-02-02,51.0
3245,2015-02-09,40.0
3245,2015-02-16,34.0
3245,2015-02-23,19.0
3245,2015-03-02,91.0
3245,2015-03-09,1176.0
3245,2015-03-16,190.0
3245,2015-03-23,88.0
3245,2015-03-30,90.0
3245,2015-04-06,116.0
3245,2015-04-13,82.0
3245,2015-04-20,138.0
3245,2015-04-27,194.0
3245,2015-05-04,220.0
3245,2015-05-11,80.0
3245,2015-05-18,145.0
3245,2015-05-25,271.0
3245,2015-06-01,170.0
3245,2015-06-08,276.0
3245,2015-06-15,198.0
3245,2015-06-22,191.0
3245,2015-06-29,60.0
3245,2015-07-06,173.0
3245,2015-07-13,102.0
3245,2015-07-20,251.0
3245,2015-07-27,183.0
3245,2015-08-03,124.0
3245,2015-08-10,138.0
3245,2015-08-17,154.0
3245,2015-08-24,202.0
3245,2015-08-31,34.0
3245,2015-09-07,34.0
3245,2015-09-14,195.0
3245,2015-09-21,124.0
3245,2015-09-28,270.0
3245,2015-10-05,94.0
3245,2015-10-12,506.0
3245,2015-10-19,160.0
3245,2015-10-26,175.0
3245,2015-11-02,338.0
3245,2015-11-09,570.0
3245,2015-11-16,222.0
3245,2015-11-23,100.0
3245,2015-11-30,174.0
3245,2015-12-07,234.0
3245,2015-12-14,434.0
3245,2015-12-21,110.0
3245,2015-12-28,144.0
3245,2016-01-04,508.0
3245,2016-01-11,763.0
3245,2016-01-18,344.0
3245,2016-01-25,182.0
3245,2016-02-01,288.0
3245,2016-02-08,40.0
3245,2016-02-15,311.0
3245,2016-02-22,340.0
3245,2016-02-29,396.0
3245,2016-03-07,255.0
3245,2016-03-14,212.0
3245,2016-03-21,192.0
3245,2016-03-28,407.0
3245,2016-04-04,57.0
3245,2016-04-11,194.0
3245,2016-04-18,389.0
3245,2016-04-25,49.0
3245,2016-05-02,229.0
3245,2016-05-09,260.0
3245,2016-05-16,96.0
3245,2016-05-23,234.0
3245,2016-05-30,725.0
3245,2016-06-06,333.0
3245,2016-06-13,151.0
3245,2016-06-20,189.0
3245,2016-06-27,192.0
3245,2016-07-04,394.0
3245,2016-07-11,124.0
3245,2016-07-18,501.0
3245,2016-07-25,62.0
3245,2016-08-01,513.0
3245,2016-08-08,241.0
3245,2016-08-15,222.0
3245,2016-08-22,99.0
3245,2016-08-29,385.0
3245,2016-09-05,141.0
3245,2016-09-12,104.0
3245,2016-09-19,296.0
3245,2016-09-26,727.0
3245,2016-10-03,219.0
3245,2016-10-10,535.0
3245,2016-10-17,45.0
3245,2016-10-24,391.0
3245,2016-10-31,220.0
3245,2016-11-07,152.0
3245,2016-11-14,44.0
3245,2016-11-21,101.0
3245,2016-11-28,79.0
3245,2016-12-05,675.0
3245,2016-12-12,768.0
